dataset_key,dataset_name,model_key,model_name,pair_count,n_folds,n_features,top_k,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_mean,spearman_std,spearman_min,spearman_max,top_k_jaccard_mean,top_k_jaccard_std,top_k_jaccard_min,top_k_jaccard_max
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,10,5,131,10,0.9592718731650031,0.019743926505520447,0.9215502055196713,0.9790957134468585,0.9643970533283511,0.01829015482076725,0.9291891314792078,0.9838520258367587,0.9272727272727274,0.09389050536260403,0.8181818181818182,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,10,5,131,10,0.8057075748678804,0.008110662445527241,0.7958896065766295,0.8214914856136231,0.936793893129771,0.00587515771390689,0.9284898307799071,0.9446271285965943,0.7757575757575758,0.1089786178526156,0.6666666666666666,1.0
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,10,5,131,10,0.7990369935408104,0.019663351285200012,0.7770992366412215,0.8360540223135644,0.9324454171782415,0.012769335978310118,0.9181711418352639,0.9555543692948272,0.8272727272727274,0.13630750808944805,0.6666666666666666,1.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,10,5,18,10,0.8535947712418303,0.050739613518116344,0.7516339869281047,0.934640522875817,0.940970072239422,0.030601450723119063,0.8740970072239421,0.9834881320949431,0.806060606060606,0.0927974470937847,0.6666666666666666,1.0
dataset2,Heart Failure Prediction,lightgbm,LightGBM,10,5,18,10,0.8300653594771242,0.03945701585245064,0.7647058823529412,0.8692810457516341,0.9422084623323013,0.020913222089536557,0.9029927760577915,0.9649122807017543,0.8363636363636363,0.05749595745760688,0.8181818181818182,1.0
dataset2,Heart Failure Prediction,xgboost,XGBoost,10,5,18,10,0.811764705882353,0.030313772777213248,0.7647058823529412,0.8562091503267976,0.9345717234262126,0.01690983546049858,0.9133126934984519,0.9587203302373581,0.8545454545454545,0.0766612766101425,0.8181818181818182,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,10,5,22,10,0.9636363636363636,0.019488534506359772,0.9393939393939393,1.0,0.9920948616600791,0.0044221118480973955,0.9864483342744214,1.0,1.0,0.0,1.0,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,10,5,22,10,0.8995670995670995,0.025877647066620345,0.8528138528138528,0.9307359307359306,0.9734613212874084,0.011258495335018385,0.9548277809147376,0.9853190287972897,0.9272727272727274,0.093890505362604,0.8181818181818182,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,10,5,22,10,0.9255411255411256,0.023868482687602114,0.8787878787878788,0.9567099567099567,0.9813664596273293,0.008991207161675997,0.961603613777527,0.9932241671372107,1.0,0.0,1.0,1.0
