dataset_key,dataset_name,model_key,model_name,fold_a,fold_b,n_features,top_k,kendall_tau,spearman_rho,top_k_jaccard
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,5,18,10,0.803921568627451,0.9195046439628484,0.8181818181818182
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,4,18,10,0.8562091503267976,0.9525283797729618,1.0
dataset2,Heart Failure Prediction,xgboost,XGBoost,3,5,18,10,0.7777777777777779,0.9133126934984519,0.8181818181818182
dataset2,Heart Failure Prediction,xgboost,XGBoost,4,5,18,10,0.8169934640522877,0.9277605779153767,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,2,18,10,0.8169934640522877,0.9422084623323013,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,3,18,10,0.8692810457516341,0.9628482972136224,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,4,18,10,0.8692810457516341,0.9628482972136224,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,1,5,18,10,0.8692810457516341,0.9628482972136224,1.0
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,3,18,10,0.7908496732026145,0.9318885448916409,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,4,18,10,0.7908496732026145,0.9256965944272446,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,2,5,18,10,0.8169934640522877,0.9277605779153767,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,4,18,10,0.8692810457516341,0.9649122807017543,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,5,18,10,0.7647058823529412,0.9029927760577915,0.8181818181818182
dataset2,Heart Failure Prediction,lightgbm,LightGBM,4,5,18,10,0.8431372549019609,0.9380804953560371,0.8181818181818182
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,1,2,22,10,0.974025974025974,0.9932241671372107,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,1,3,22,10,0.9393939393939393,0.9864483342744214,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,1,4,22,10,0.974025974025974,0.9954827780914738,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,1,5,22,10,1.0,1.0,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,2,3,22,10,0.9653679653679654,0.9932241671372107,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,2,4,22,10,0.948051948051948,0.9887069452286844,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,2,5,22,10,0.974025974025974,0.9932241671372107,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,3,4,22,10,0.948051948051948,0.9887069452286844,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,3,5,22,10,0.9393939393939393,0.9864483342744214,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,4,5,22,10,0.974025974025974,0.9954827780914738,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,2,22,10,0.922077922077922,0.9841897233201583,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,3,22,10,0.9307359307359306,0.9841897233201583,1.0
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,4,22,10,0.9307359307359306,0.9853190287972897,1.0
