dataset_key,dataset_name,model_key,model_name,feature,mean_abs_shap,mean_rank,rank_std,top_k_frequency,folds_observed,consensus_rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,FluVaxLast12,0.0,38.0,0.7071067811865476,0.0,5,37
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,PneumoVaxEver,0.0,39.0,0.7071067811865476,0.0,5,38
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,HighRiskLastYear,0.0,40.0,0.7071067811865476,0.0,5,39
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Alabama,0.0,41.0,0.7071067811865476,0.0,5,40
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Alaska,0.0,42.0,0.7071067811865476,0.0,5,41
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Arizona,0.0,43.0,0.7071067811865476,0.0,5,42
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Arkansas,0.0,44.0,0.7071067811865476,0.0,5,43
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_California,0.0,45.0,0.7071067811865476,0.0,5,44
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Colorado,0.0,46.0,0.7071067811865476,0.0,5,45
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Connecticut,0.0,47.0,0.7071067811865476,0.0,5,46
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Delaware,0.0,48.0,0.7071067811865476,0.0,5,47
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_District_of_Columbia,0.0,49.0,0.7071067811865476,0.0,5,48
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,HadDiabetes_No,0.0011056685536170834,50.0,47.47630988187688,0.0,5,49
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Florida,0.0,50.0,0.7071067811865476,0.0,5,50
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Georgia,0.0,51.0,0.7071067811865476,0.0,5,51
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Guam,0.0,52.0,0.7071067811865476,0.0,5,52
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Hawaii,0.0,53.0,0.7071067811865476,0.0,5,53
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Idaho,0.0,54.0,0.7071067811865476,0.0,5,54
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Illinois,0.0,55.0,0.7071067811865476,0.0,5,55
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Indiana,0.0,56.0,0.7071067811865476,0.0,5,56
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Iowa,0.0,57.0,0.7071067811865476,0.0,5,57
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Kansas,0.0,58.0,0.7071067811865476,0.0,5,58
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Kentucky,0.0,59.0,0.7071067811865476,0.0,5,59
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Louisiana,0.0,60.0,0.7071067811865476,0.0,5,60
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Maine,0.0,61.0,0.7071067811865476,0.0,5,61
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,State_Maryland,0.0,62.0,0.7071067811865476,0.0,5,62
