model_key,model_name,mean_dataset_rank,roc_auc_mean,pr_auc_mean,recall_mean,f1_mean,roc_auc_std,pr_auc_std,recall_std,f1_std
xgboost,XGBoost,1.0,0.8844291858694039,0.5729632207220157,0.8202474567214382,0.5304638448942937,0.012973408006853954,0.01601565863599303,0.01989981058795977,0.009329013724065444
lightgbm,LightGBM,2.3333333333333335,0.8832645061994161,0.5698013511385023,0.8177708475020395,0.5318848637453194,0.011983230508483038,0.015940986277224,0.012618207357686246,0.007279028069906836
adaboost,AdaBoost,2.6666666666666665,0.8759857238154397,0.5586394731745022,0.7656784312029375,0.5392496113264281,0.016721104398654887,0.020109352828824218,0.016098573841793168,0.00937764219139131
