dataset_key,dataset_name,model_key,model_name,cv_rank,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_range,pr_auc_range,recall_range,f1_range,test_roc_auc,test_pr_auc,test_recall,test_f1
dataset1,Personal Key Indicators of Heart Disease (2022),xgboost,XGBoost,1,0.8873087369249711,0.0031284189031834044,0.8850848585550444,0.8920236273769149,0.4137924905794824,0.009180345340536359,0.40605427049248294,0.42714478486007107,0.7798960688849393,0.007136947975653558,0.7724670151854618,0.7876524769728653,0.332849036884238,0.0023066634266788234,0.33003440063508865,0.33580980683506684,0.0069387688218705,0.02109051436758813,0.015185461787403542,0.005775406199978184,0.8850916815971355,0.41905412078191745,0.7688172043010753,0.3260016042554988
dataset1,Personal Key Indicators of Heart Disease (2022),lightgbm,LightGBM,2,0.8870786087956162,0.003359645992545209,0.884402912791144,0.8919983018181066,0.4127452054004098,0.008990575270543557,0.4052216739289663,0.4262415976393987,0.7760126852613575,0.00965324149613362,0.7645008712969878,0.7869056509833209,0.3347387411693451,0.0029062151860529935,0.3315862659107926,0.33896305828105733,0.007595389026962551,0.021019923710432376,0.022404779686333032,0.007376792370264729,0.8848612703299649,0.4180207184388498,0.7712066905615292,0.3276372557313256
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,3,0.8715481930301463,0.004175816366200167,0.8669316143428188,0.8773513169354016,0.3853188697196791,0.00872242754629201,0.37595307349326423,0.3968941164985115,0.6794278621483384,0.010627796708167785,0.6629325367189445,0.6913887506222001,0.3764623351959544,0.008212806660611218,0.36774019673898395,0.3890066412321605,0.010419702592582736,0.02094104300524724,0.02845621390325559,0.02126644449317655,0.869513382292128,0.38596182114407573,0.6704500199123855,0.36571987182968557
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,0.9274235650929418,0.03318790442229557,0.8690609801720912,0.9519266741488964,0.9248125022014506,0.033829054450411206,0.8689777113924732,0.9518072502429376,0.8794339054501655,0.045103639021495605,0.8292682926829268,0.9382716049382716,0.8780288685225679,0.023443484256483748,0.8553459119496856,0.9156626506024096,0.08286569397680521,0.0828295388504644,0.10900331225534476,0.06031673865272402,0.9208512673362027,0.923256654317332,0.8333333333333334,0.8585858585858586
dataset2,Heart Failure Prediction,adaboost,AdaBoost,2,0.9239916432057352,0.04289054721717646,0.8524130190796858,0.9672652450430228,0.922758403128662,0.043814611855998456,0.8540309284333576,0.9726245480806421,0.8448660042155977,0.02943950748800357,0.8024691358024691,0.8765432098765432,0.8586749662227369,0.016922224916775128,0.8441558441558441,0.8789808917197452,0.114852225963337,0.11859361964728454,0.07407407407407407,0.034825047563901146,0.925633668101387,0.9393855775571273,0.8529411764705882,0.883248730964467
dataset2,Heart Failure Prediction,lightgbm,LightGBM,3,0.9249147580312892,0.030279602196402508,0.8713056490834269,0.944818555929667,0.916925857196546,0.032884634510921315,0.8665509071389306,0.9454077279738726,0.8818428184281842,0.02351737921703471,0.8536585365853658,0.9135802469135802,0.8787100707039375,0.016869996105983238,0.8520710059171598,0.8944099378881988,0.07351290684624012,0.07885682083494205,0.05992171032821436,0.042338931971038996,0.9186991869918699,0.9191312863169263,0.8529411764705882,0.87
dataset3,Heart Disease Health Indicators (BRFSS 2015),xgboost,XGBoost,1,0.8385552555902986,0.0026039006950828846,0.8354418617475942,0.840477685027671,0.3802846693851139,0.005037576117031532,0.3749988247558443,0.38651162400058653,0.8014123958292096,0.007458844766730161,0.7889328063241107,0.8073781291172596,0.380513629276075,0.0022368934890337577,0.3773870296842503,0.38319159579789897,0.00503582328007679,0.011512799244742244,0.01844532279314892,0.005804566113648657,0.838499970958369,0.3751238274245076,0.7954880877082016,0.3769230769230769
dataset3,Heart Disease Health Indicators (BRFSS 2015),lightgbm,LightGBM,2,0.8378001517713429,0.002310443336501399,0.8349155758239115,0.8397876561958133,0.379732990818551,0.005947749050207125,0.37164306275449976,0.38646955528548,0.7954570388165767,0.0046840013598904075,0.7870882740447958,0.7978919631093544,0.3822057793626755,0.0020608729176842767,0.3798079979655414,0.38430775090458963,0.004872080371901788,0.014826492530980229,0.010803689064558641,0.004499752939048252,0.8387006585017172,0.37684089195041376,0.7938013915243517,0.3792686612269568
dataset3,Heart Disease Health Indicators (BRFSS 2015),adaboost,AdaBoost,3,0.8324173352104378,0.003096949612588038,0.8287177627443483,0.8357104454362831,0.36784114667516554,0.007791019084182192,0.35783194374235044,0.3769824637793522,0.7727414272448766,0.008228417329208152,0.7612648221343874,0.7831357048748353,0.38261153256059305,0.002997894996787579,0.3798317118064686,0.38637258763292637,0.006992682691934871,0.01915052003700174,0.021870882740447906,0.006540875826457793,0.8326125130949517,0.36759823985871004,0.7687117857895847,0.3788248740194296
