dataset_key,dataset_name,model_key,model_name,fold,feature,mean_abs_shap
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,Sex,0.030246005872631956
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ExerciseAngina,0.03813943197078436
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ChestPainType_ASY,0.10328898002645737
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ChestPainType_ATA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ChestPainType_NAP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ChestPainType_TA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,RestingECG_LVH,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,RestingECG_Normal,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,RestingECG_ST,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ST_Slope_Down,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ST_Slope_Flat,0.005466288739261135
dataset2,Heart Failure Prediction,adaboost,AdaBoost,4,ST_Slope_Up,0.2239690399209362
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,Age,0.003753717062398663
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,RestingBP,0.007882855339288007
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,Cholesterol,0.021200110676695735
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,FastingBS,0.04096408828597924
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,MaxHR,0.032369134643766215
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,Oldpeak,0.010390801497261586
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,Sex,0.028862222616815102
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ExerciseAngina,0.0608605620246699
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ChestPainType_ASY,0.13869107237627407
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ChestPainType_ATA,0.0014410363423656264
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ChestPainType_NAP,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ChestPainType_TA,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,RestingECG_LVH,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,RestingECG_Normal,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,RestingECG_ST,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ST_Slope_Down,0.0
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ST_Slope_Flat,0.001103623549991461
dataset2,Heart Failure Prediction,adaboost,AdaBoost,5,ST_Slope_Up,0.2259842775108632
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,Age,0.2109556496143341
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,RestingBP,0.2808578908443451
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,Cholesterol,0.3881445527076721
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,FastingBS,0.30341389775276184
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,MaxHR,0.3616833984851837
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,Oldpeak,0.4822593629360199
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,Sex,0.4104035198688507
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ExerciseAngina,0.34872519969940186
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ChestPainType_ASY,0.8609955310821533
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ChestPainType_ATA,0.04860411956906319
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ChestPainType_NAP,0.06759795546531677
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ChestPainType_TA,0.009527244605123997
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,RestingECG_LVH,0.08409859240055084
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,RestingECG_Normal,0.03271465376019478
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,RestingECG_ST,0.037126876413822174
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ST_Slope_Down,0.00817524828016758
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ST_Slope_Flat,0.6463884711265564
dataset2,Heart Failure Prediction,xgboost,XGBoost,1,ST_Slope_Up,0.9695183634757996
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,Age,0.33875003457069397
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,RestingBP,0.38745689392089844
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,Cholesterol,0.4905160367488861
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,FastingBS,0.2746597230434418
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,MaxHR,0.4194371700286865
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,Oldpeak,0.4330505430698395
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,Sex,0.5872824788093567
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ExerciseAngina,0.475859135389328
dataset2,Heart Failure Prediction,xgboost,XGBoost,2,ChestPainType_ASY,1.0322067737579346
