dataset_key,dataset_name,model_key,model_name,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_range,pr_auc_range,recall_range,f1_range
dataset2,Heart Failure Prediction,adaboost,AdaBoost,0.9242140465175694,0.041921814021860786,0.8546576879910213,0.9672652450430228,0.9226827652322085,0.043524031983946686,0.8547703560428968,0.9726245480806421,0.8448660042155977,0.02943950748800357,0.8024691358024691,0.8765432098765432,0.8577553530944668,0.01899447606973826,0.8352941176470589,0.8789808917197452,0.11260755705200154,0.11785419203774539,0.07407407407407407,0.043686774072686396
dataset2,Heart Failure Prediction,lightgbm,LightGBM,0.9259423503325943,0.03348420459582689,0.8668163112607556,0.9468761690983913,0.9160750968972776,0.037633714181678504,0.8585570418162434,0.9553774121980808,0.8842517314062028,0.02231253614079674,0.8518518518518519,0.9135802469135802,0.8800590932105441,0.021208902678219597,0.8520710059171598,0.9079754601226994,0.0800598578376357,0.09682037038183744,0.061728395061728336,0.05590445420553958
dataset2,Heart Failure Prediction,xgboost,XGBoost,0.9259842395885756,0.03299072255007198,0.8690609801720912,0.9549195660306772,0.9240310463834408,0.03273394301213322,0.8710142134803228,0.9537970164010713,0.879373682625715,0.03608510735149943,0.8518518518518519,0.9382716049382716,0.8782439480167898,0.023392835432379012,0.8520710059171598,0.9156626506024096,0.08585858585858597,0.08278280292074847,0.08641975308641969,0.0635916446852498
